t_s,R75,s.1,R77,s.2,R78,s.3,R80,s.4,R81,s.5,R83,s.6,R92,s.7,R98,s.8,R100,s.9,R102,s.10,R105,s.11,R114,s.12,R117,s.13,R120,s.14,R121,s.15,R122,s.16,R124,s.17,R125,s.18,R126,s.19,R127,s.20,R128,s.21,R129
100.0,-0.0126445768401027,100.0,-0.0390196815133095,100.0,-0.0133555410429835,100.0,-0.035746194422245,100.0,-0.0031523704528808,100.0,-0.0250821113586426,100.0,0.0097695356234908,100.0,0.0166758541017771,100.0,0.0035586357116699,100.0,0.0266446117311716,100.0,0.0068242074921727,100.0,-0.0479024909436703,100.0,-0.0143242841586471,100.0,0.042168140411377,100.0,0.0314493179321289,100.0,0.0095117567107081,100.0,-0.0413243286311626,100.0,-0.0076289176940918,100.0,-0.0272461902350187,100.0,0.119465254247189,100.0,0.122402861714363,100.0,0.111832432448864
110.0,-0.0125195505097508,110.0,-0.038902472704649,110.0,-0.0133086210116744,110.0,-0.0351680777966976,110.0,-0.0033788681030273,110.0,-0.024808693677187,110.0,0.0108554838225245,110.0,0.0168711673468351,110.0,0.003496074816212,110.0,0.0261055957525969,110.0,0.0065117836929857,110.0,-0.0472931861877441,110.0,-0.0140742305666208,110.0,0.0423399917781353,110.0,0.031433679163456,110.0,0.0100664142519236,110.0,-0.0413556098937988,110.0,-0.0074805258773267,110.0,-0.0269102100282907,110.0,0.119012169539928,110.0,0.122301295399666,110.0,0.111473083496094
120.0,-0.0124414442107081,120.0,-0.0388321876525879,120.0,-0.0132696153596044,120.0,-0.0346055999398232,120.0,-0.0035429955460131,120.0,-0.0245586391538382,120.0,0.0118555072695017,120.0,0.0170273780822754,120.0,0.0034336091484874,120.0,0.0255743023008108,120.0,0.0062460899353027,120.0,-0.0468556396663189,120.0,-0.0138164525851607,120.0,0.0424963012337685,120.0,0.031410314142704,120.0,0.0105429654940963,120.0,-0.0413634292781353,120.0,-0.0073633193969726,120.0,-0.0267539974302053,120.0,0.118574716150761,120.0,0.122191905975342,120.0,0.111113741993904
130.0,-0.0123711591586471,130.0,-0.0387540832161903,130.0,-0.0132383350282907,130.0,-0.0340587608516216,130.0,-0.0036835670471191,130.0,-0.024293040856719,130.0,0.0127696041017771,130.0,0.0171680450439453,130.0,0.0033711434807628,130.0,0.025058651342988,130.0,0.0059726717881858,130.0,-0.0460509322583675,130.0,-0.0135273933410645,130.0,0.0426290519535542,130.0,0.031410314142704,130.0,0.0110274320468307,130.0,-0.0413790717720985,130.0,-0.0072461129166185,130.0,-0.0266446117311716,130.0,0.118137173354626,130.0,0.122082524001598,130.0,0.110754303634167
140.0,-0.0123164178803563,140.0,-0.0386368744075298,140.0,-0.0132148740813136,140.0,-0.0335196517407894,140.0,-0.003777313278988,140.0,-0.0240274425595999,140.0,0.0135039333254099,140.0,0.0173164363950491,140.0,0.0033164024353027,140.0,0.0245587360113859,140.0,0.0056992531754076,140.0,-0.0457306876778603,140.0,-0.0132226943969727,140.0,0.0427462570369244,140.0,0.0314493179321289,140.0,0.0114961629733443,140.0,-0.041402529925108,140.0,-0.0071445466019213,140.0,-0.02681646309793,140.0,0.11769962310791,140.0,0.121973134577274,140.0,0.110394954681396
150.0,-0.0122774122282863,150.0,-0.0385431312024593,150.0,-0.0132148740813136,150.0,-0.0330039970576763,150.0,-0.0038398744072765,150.0,-0.0237462054938078,150.0,0.0142227178439498,150.0,0.0174180027097464,150.0,0.0032539367675781,150.0,0.0240587238222361,150.0,0.005378914065659,150.0,-0.0451369285583496,150.0,-0.0129023557528853,150.0,0.0428634658455849,150.0,0.0314571373164654,150.0,0.011957073584199,150.0,-0.041402529925108,150.0,-0.007042980287224,150.0,-0.0269884113222361,150.0,0.117277815937996,150.0,0.121871568262577,150.0,0.110043428838253
160.0,-0.012363338842988,160.0,-0.0385665893554688,160.0,-0.0132461553439498,160.0,-0.0325274467468262,160.0,-0.0039726258255541,160.0,-0.023496150970459,160.0,0.0148789407685399,160.0,0.0174414645880461,160.0,0.0031913758721202,160.0,0.0235665328800678,160.0,0.0050742151215672,160.0,-0.0443009398877621,160.0,-0.0125821111723781,160.0,0.0429493896663189,160.0,0.0314414985477924,160.0,0.0124336248263717,160.0,-0.0413947105407715,160.0,-0.0069492342881858,160.0,-0.0269024856388569,160.0,0.116879366338253,160.0,0.121754363179207,160.0,0.109683990478516
170.0,-0.0123476982116699,170.0,-0.0385509505867958,170.0,-0.0132774356752634,170.0,-0.0320587158203125,170.0,-0.0040741921402514,170.0,-0.0232461933046579,170.0,0.0155508043244481,170.0,0.0175273902714252,170.0,0.0031054497230798,170.0,0.0230899807065725,170.0,0.004800796508789,170.0,-0.0436056144535542,170.0,-0.0122383115813136,170.0,0.0430822372436523,170.0,0.0314493179321289,170.0,0.0128711704164743,170.0,-0.0414415374398232,170.0,-0.0068554878234863,170.0,-0.0275743491947651,170.0,0.116480924189091,170.0,0.121644973754883,170.0,0.109332464635372
180.0,-0.0123398778960109,180.0,-0.0385274887084961,180.0,-0.0133164403960109,180.0,-0.0315978042781353,180.0,-0.0040898323059082,180.0,-0.0229649543762207,180.0,0.016089916229248,180.0,0.0175743103027344,180.0,0.0031758309341967,180.0,0.0226367954164743,180.0,0.0045351982116699,180.0,-0.0430118553340435,180.0,-0.0118946079164743,180.0,0.0431525222957134,180.0,0.0314571373164654,180.0,0.0133164403960109,180.0,-0.0414649955928326,180.0,-0.0067773819901049,180.0,-0.0274806022644043,180.0,0.116090297698975,180.0,0.121535591781139,180.0,0.108973026275635
190.0,-0.0123398778960109,190.0,-0.038480568677187,190.0,-0.0133711816743016,190.0,-0.0311602596193552,190.0,-0.004105472471565,190.0,-0.022699261084199,190.0,0.0165899284183979,190.0,0.0176133159548044,190.0,0.0031289102043956,190.0,0.0221915245056152,190.0,0.0042461394332349,190.0,-0.0424415580928326,190.0,-0.0115273473784328,190.0,0.0432071685791016,190.0,0.031433679163456,190.0,0.013730525970459,190.0,-0.0414415374398232,190.0,-0.0066992761567235,190.0,-0.0272931102663279,190.0,0.115715317428112,190.0,0.121434025466442,190.0,0.108629323542118
200.0,-0.0123398778960109,200.0,-0.0384415648877621,200.0,-0.0134258270263672,200.0,-0.0307461749762297,200.0,-0.0040976526215672,200.0,-0.0223946571350098,200.0,0.0170742999762297,200.0,0.017636775970459,200.0,0.003066444536671,200.0,0.0217461585998535,200.0,0.0040117264725267,200.0,-0.0419493690133095,200.0,-0.0111523633822799,200.0,0.0432697311043739,200.0,0.0314258597791195,200.0,0.014128970913589,200.0,-0.0414337180554867,200.0,-0.0066210748627781,200.0,-0.027347756549716,200.0,0.115348055958748,200.0,0.121324732899666,200.0,0.108277797698975
210.0,-0.0123398778960109,210.0,-0.0384259223937988,210.0,-0.0134727479889989,210.0,-0.0303477291017771,210.0,-0.0040820124559104,210.0,-0.0221055038273335,210.0,0.0175273902714252,210.0,0.0177227016538382,210.0,0.0030038834083825,210.0,0.0213165283203125,210.0,0.003753948258236,210.0,-0.0414258949458599,210.0,-0.0107851987704635,210.0,0.0433243773877621,210.0,0.031410314142704,210.0,0.0145039558410645,210.0,-0.0414103530347347,210.0,-0.0065664290450513,210.0,-0.0274727828800678,210.0,0.114988707005978,210.0,0.121223166584969,210.0,0.107918359339237
