t_s,R75,51,R77,53,R78,55,R80,57,R81,59,R83,61,R92,63,R98,65,R102,67,R103,69,R104,71,R105,73,R106,75,R99,77,R100,79,R101,81,R116,83,R117,85,R118,87,R119,89,R120,91,R121,93,R122,95,R123
120,0.0187892913818359,120,0.0351171493530273,120,-0.0160551071166992,120,-0.00386714935302734,120,0.0275392532348633,120,-0.0301952362060547,120,-0.0344142913818359,120,-0.0312891006469727,120,0.0555076599121094,120,0.0378513336181641,120,-0.0322265625,120,0.0466022491455078,120,0.0318365097045898,120,3.1645040512085,120,0.00800800323486328,120,-6.21701574325562,120,0.0351171493530273,120,-7.63850545883179,120,0.0395708084106445,120,0.0514459609985352,120,0.0148830413818359,120,0.0483207702636719,120,0.0466794967651367,120,0.0601177215576172
130,0.0189456939697266,130,0.0351171493530273,130,-0.0162105560302734,130,-0.00316429138183594,130,0.0275392532348633,130,-0.0301170349121094,130,-0.0344142913818359,130,-0.031132698059082,130,0.0555076599121094,130,0.0377740859985352,130,-0.0317583084106445,130,0.0466022491455078,130,0.0320701599121094,130,2.95536327362061,130,0.00839805603027344,130,-6.4420166015625,130,0.0354299545288086,130,-7.74280261993408,130,0.0397272109985352,130,0.0514459609985352,130,0.0150394439697266,130,0.0480079650878906,130,0.0466794967651367,130,0.0600395202636719
140,0.0191793441772461,140,0.0351171493530273,140,-0.0162887573242188,140,-0.00253868103027344,140,0.0276174545288086,140,-0.0299606323242188,140,-0.0343360900878906,140,-0.0309762954711914,140,0.0554304122924805,140,0.0377740859985352,140,-0.0312891006469727,140,0.0466022491455078,140,0.0323047637939453,140,2.75168991088867,140,0.00871086120605469,140,-6.6426420211792,140,0.0356645584106445,140,-7.84069347381592,140,0.0398044586181641,140,0.0513677597045898,140,0.0151958465576172,140,0.0477733612060547,140,0.0466794967651367,140,0.0600395202636719
150,0.019413948059082,150,0.0351171493530273,150,-0.0163669586181641,150,-0.00199222564697266,150,0.0276174545288086,150,-0.0298824310302734,150,-0.0342578887939453,150,-0.0308208465576172,150,0.0553522109985352,150,0.0376958847045898,150,-0.0308208465576172,150,0.0466022491455078,150,0.0324611663818359,150,2.55270481109619,150,0.00910186767578125,150,-6.821861743927,150,0.0358209609985352,150,-7.93319416046143,150,0.0399608612060547,150,0.0512895584106445,150,0.0153512954711914,150,0.0475397109985352,150,0.0466794967651367,150,0.0599613189697266
160,0.019648551940918,160,0.0351953506469727,160,-0.0164451599121094,160,-0.00136756896972656,160,0.0276956558227539,160,-0.0298051834106445,160,-0.0341796875,160,-0.0307426452636719,160,0.0552740097045898,160,0.0376176834106445,160,-0.0304298400878906,160,0.0466022491455078,160,0.0326175689697266,160,2.35848522186279,160,0.00933647155761719,160,-6.98108100891113,160,0.0360546112060547,160,-8.02116298675537,160,0.0400390625,160,0.0512895584106445,160,0.0154294967651367,160,0.0473051071166992,160,0.0466794967651367,160,0.0598049163818359
170,0.0198831558227539,170,0.0351171493530273,170,-0.0166015625,170,-0.000820159912109375,170,0.0276956558227539,170,-0.0296487808227539,170,-0.0341014862060547,170,-0.0305862426757812,170,0.0551958084106445,170,0.0375394821166992,170,-0.0300388336181641,170,0.0466022491455078,170,0.0327739715576172,170,2.16871929168701,170,0.00964832305908203,170,-7.12280035018921,170,0.0362110137939453,170,-8.10444450378418,170,0.0401172637939453,170,0.0512113571166992,170,0.0155858993530273,170,0.046992301940918,170,0.0466794967651367,170,0.0597267150878906
180,0.0201177597045898,180,0.0351171493530273,180,-0.0166797637939453,180,-0.000273704528808594,180,0.0276956558227539,180,-0.0295705795288086,180,-0.0340232849121094,180,-0.0304298400878906,180,0.0551176071166992,180,0.0374612808227539,180,-0.0296487808227539,180,0.0466022491455078,180,0.0329294204711914,180,1.98356246948242,180,0.00996112823486328,180,-7.24991035461426,180,0.0364456176757812,180,-8.18389797210693,180,0.0402736663818359,180,0.0511331558227539,180,0.0156641006469727,180,0.046757698059082,180,0.0466794967651367,180,0.0596485137939453
190,0.0203514099121094,190,0.0351171493530273,190,-0.0168361663818359,190,0.000273704528808594,190,0.0276956558227539,190,-0.0294923782348633,190,-0.0339450836181641,190,-0.0303516387939453,190,0.0550394058227539,190,0.0373048782348633,190,-0.0292577743530273,190,0.0465240478515625,190,0.033085823059082,190,1.80184268951416,190,0.0101957321166992,190,-7.36498880386353,190,0.0366020202636719,190,-8.25866413116455,190,0.0403518676757812,190,0.0510549545288086,190,0.015742301940918,190,0.0464458465576172,190,0.0466022491455078,190,0.0594921112060547
200,0.0205860137939453,200,0.0351171493530273,200,-0.0169143676757812,200,0.000741958618164062,200,0.0276956558227539,200,-0.029414176940918,200,-0.0338668823242188,200,-0.0301952362060547,200,0.0549612045288086,200,0.037226676940918,200,-0.0289449691772461,200,0.0465240478515625,200,0.0331640243530273,200,1.62426376342773,200,0.0104293823242188,200,-7.46795797348022,200,0.0367584228515625,200,-8.32960224151611,200,0.0404300689697266,200,0.0510549545288086,200,0.0158205032348633,200,0.0462112426757812,200,0.0466022491455078,200,0.0594139099121094
210,0.0207424163818359,210,0.0351171493530273,210,-0.0169925689697266,210,0.00128936767578125,210,0.0277738571166992,210,-0.0293359756469727,210,-0.0338668823242188,210,-0.0301170349121094,210,0.0548830032348633,210,0.0371484756469727,210,-0.0287113189697266,210,0.0465240478515625,210,0.033320426940918,210,1.44895076751709,210,0.0106639862060547,210,-7.55975532531738,210,0.0368356704711914,210,-8.39764881134033,210,0.0405082702636719,210,0.0509767532348633,210,0.0158987045288086,210,0.0458984375,210,0.0466022491455078,210,0.0592584609985352
220,0.0209770202636719,220,0.0351171493530273,220,-0.0170707702636719,220,0.00175762176513672,220,0.0277738571166992,220,-0.0292577743530273,220,-0.0337114334106445,220,-0.0299606323242188,220,0.054804801940918,220,0.0370702743530273,220,-0.0283985137939453,220,0.0465240478515625,220,0.0333986282348633,220,1.27434062957764,220,0.0108203887939453,220,-7.64358377456665,220,0.036992073059082,220,-8.462571144104,220,0.0405864715576172,220,0.050898551940918,220,0.0159769058227539,220,0.0456638336181641,220,0.0466022491455078,220,0.0591802597045898
230,0.0211324691772461,230,0.0351171493530273,230,-0.0172262191772461,230,0.00214862823486328,230,0.0277738571166992,230,-0.0291013717651367,230,-0.0336332321166992,230,-0.0298824310302734,230,0.0547266006469727,230,0.0369138717651367,230,-0.0280857086181641,230,0.0464458465576172,230,0.0335550308227539,230,1.10160541534424,230,0.0110549926757812,230,-7.72006797790527,230,0.0370702743530273,230,-8.52327442169189,230,0.0406646728515625,230,0.0508203506469727,230,0.0160551071166992,230,0.0453519821166992,230,0.0466022491455078,230,0.0590238571166992
240,0.021367073059082,240,0.0351171493530273,240,-0.0173044204711914,240,0.00261688232421875,240,0.0277738571166992,240,-0.0290231704711914,240,-0.0335550308227539,240,-0.0297269821166992,240,0.0546483993530273,240,0.0368356704711914,240,-0.0277738571166992,240,0.0464458465576172,240,0.0336332321166992,240,0.929886817932129,240,0.0112895965576172,240,-7.78889656066895,240,0.037226676940918,240,-8.58054065704346,240,0.0407419204711914,240,0.0507421493530273,240,0.0161333084106445,240,0.0451173782348633,240,0.0466022491455078,240,0.0588674545288086
250,0.0215234756469727,250,0.0351171493530273,250,-0.0173826217651367,250,0.00300788879394531,250,0.0277738571166992,250,-0.0289449691772461,250,-0.0334768295288086,250,-0.0296487808227539,250,0.054570198059082,250,0.0367584228515625,250,-0.0275392532348633,250,0.0464458465576172,250,0.0337114334106445,250,0.758557319641113,250,0.0114450454711914,250,-7.85194396972656,250,0.0373048782348633,250,-8.63507175445557,250,0.0408201217651367,250,0.050663948059082,250,0.0162115097045898,250,0.044804573059082,250,0.0465240478515625,250,0.0587892532348633
260,0.0216798782348633,260,0.0351171493530273,260,-0.017460823059082,260,0.00339889526367188,260,0.0277738571166992,260,-0.0288677215576172,260,-0.0333986282348633,260,-0.0294923782348633,260,0.0544919967651367,260,0.0366020202636719,260,-0.0273046493530273,260,0.0463676452636719,260,0.0337896347045898,260,0.588400840759277,260,0.011601448059082,260,-7.9093656539917,260,0.0374612808227539,260,-8.68694686889648,260,0.040898323059082,260,0.0505857467651367,260,0.0162115097045898,260,0.0444927215576172,260,0.0465240478515625,260,0.0586328506469727
