t_s,R91,R92,R93,R94,R95,R96,R97,R98,R83,R84,R85,R86,R87,R88,R89,R90,R75,R76,R77,R78,R79,R80,R81,R82,R92.1,R93.1,R94.1,R95.1,R96.1,R97.1,R98.1,R83.1,R84.1,R85.1,R86.1,R87.1,R88.1,R89.1,R90.1,R75.1,R76.1,R77.1,R78.1,R79.1,R80.1,R81.1,R82.1
50,0.0362466238439083,-0.020002031698823,0.021330937743187,0.0163332652300596,-0.0516310520470142,-0.00638400996103883,-0.010307464748620999,-0.00145742413587868,0.015283259563148001,-0.045574001967907,0.00856682751327753,-0.0523935556411743,-0.0279895588755608,-0.0463052541017532,-0.0096371453255415,0.014465293847024399,0.00913479831069708,-0.000843362766318023,0.027797374874353402,0.0294669046998024,0.0290301889181137,0.00383399962447584,0.0282911192625761,0.0251864232122898,0.10818200372159499,0.111905492842197,0.116525052115321,0.00219337269663811,0.0619091815315187,0.109743732959032,0.116085990099236,0.128029788844287,0.112860195338726,0.11861025635153101,0.06250140815973279,0.0693038180470467,0.065495990216732,0.111257860437036,0.0710787391290069,0.131381354294717,0.12171570782084,0.11957507953047801,0.128299325704575,0.128729782998562,0.112517965724692,0.12236565910279801,0.13089388236403499
55,0.0363708399236202,-0.0199020281434059,0.021466875448823,0.0163621716201305,-0.0524560585618019,-0.00639338465407491,-0.0102465245872736,-0.00135117524769157,0.0154059212654829,-0.0453247837722301,0.00895198807120323,-0.052047461271286,-0.0277754962444305,-0.046145875006914104,-0.00945745408535004,0.0145168490707874,0.00933870300650597,-0.000766019802540541,0.0278715882450342,0.0295411292463541,0.029110660776495902,0.003951969090849159,0.0284364316612482,0.025222357362508798,0.108282007277012,0.112041430547833,0.116553958505392,0.00136836618185043,0.0618998068384826,0.10980467312037899,0.116192238987423,0.128152450546622,0.113109413534403,0.118995416909456,0.0628475025296211,0.0695178806781769,0.06565536931157111,0.111437551677227,0.0711302943527699,0.131585258990526,0.12179305078461801,0.119649292901158,0.128373550251126,0.128810254856944,0.112635935191065,0.12251097150147,0.13092981651425398
60,0.0364677123725414,-0.0198176577687263,0.0215887539088726,0.0163863934576511,-0.0526927746832371,-0.00675119366496801,-0.010191831737756701,-0.0012527370126918,0.0155199812725186,-0.0450974367558956,0.00931057892739773,-0.0517224594950676,-0.0274208057671785,-0.0459950976073742,-0.00928870216012001,0.0145871639251709,0.00952464994043112,-0.00069257733412087,0.0279356576502323,0.0295926947146654,0.0291739366948605,0.00405743578448892,0.0285754967480898,0.025252828374505,0.10836637765169099,0.112163309007883,0.11657818034291301,0.00113165006041527,0.0615419978275895,0.109859365969896,0.116290677222423,0.128266510553658,0.11333676055073699,0.119354007765651,0.0631725043058395,0.0698725711554289,0.0658061467111111,0.111606303602457,0.0712006092071533,0.13177120592445102,0.121866493253037,0.119713362306356,0.128425115719438,0.128873530775309,0.112741401884705,0.122650036588311,0.13096028752625
65,0.0365559943020344,-0.0197324939072132,0.0217137522995472,0.01638013869524,-0.0530779361724854,-0.00701447483152151,-0.0101496502757072,-0.00116523739416152,0.0156035702675581,-0.0448989942669868,0.00964573863893747,-0.0513998009264469,-0.027221588417887698,-0.0458490028977394,-0.00913089700043201,0.0146512314677238,0.00969573948532343,-0.000622262945398688,0.0279942508786917,0.0296317562460899,0.0292223729193211,0.00415509194135666,0.0286997221410275,0.025279397144913698,0.108451541513205,0.11228830739855801,0.116571925580502,0.000746488571166992,0.061278716661036,0.109901547431946,0.116378176840954,0.128350099548697,0.11353520303964601,0.11968916747719,0.06349516287446019,0.0700717885047197,0.06595224142074581,0.111764108762145,0.0712646767497063,0.131942295469344,0.12193680764176,0.119771955534816,0.128464177250862,0.12892196699976902,0.112839058041573,0.122774261981249,0.130986856296659
70,0.0366052128374577,-0.019664525985717798,0.021821565926075,0.0164020154625177,-0.0532795004546642,-0.00722619984298944,-0.0101082418113947,-0.00108554842881858,0.015684824436903,-0.0447013415396214,0.00995590165257454,-0.051068551838398,-0.0268551781773567,-0.045691970735788304,-0.00898323953151703,0.014728574082255402,0.00985120795667171,-0.000547265983186662,0.028052844107151,0.0296590980142355,0.0292786303907633,0.004244155716151,0.0288239382207394,0.0253036115318537,0.1085195094347,0.11239612102508499,0.11659380234777901,0.000544924288988113,0.0610669916495681,0.109942955896258,0.116457865806296,0.128431353718042,0.113732855767012,0.119999330490828,0.0638264119625092,0.0704381987452507,0.0661092735826969,0.11191176623106,0.0713420193642378,0.132097763940692,0.122011804603972,0.11983054876327501,0.128491519019008,0.12897822447121102,0.112928121816367,0.12289847806096099,0.131011070683599
75,0.0366747453808784,-0.0195840541273355,0.0219325069338083,0.0164199825376272,-0.0523732453584671,-0.00747385947033763,-0.010075425729155499,-0.0010097693884745201,0.015742635354399702,-0.0445044636726379,0.010256681591272401,-0.050733394920826,-0.0257059559226036,-0.045528687536716496,-0.00883323606103659,0.014815292321145502,0.0100043388083577,-0.000471487030154094,0.0281083099544048,0.0296872220933437,0.0293255038559437,0.00432775495573878,0.0289419069886208,0.025344237685203597,0.108599981293082,0.11250706203281899,0.11661176942288899,0.00145117938518524,0.0608193320222199,0.109975771978498,0.116533644846641,0.128489164635539,0.113929733633995,0.120300110429525,0.0641615688800812,0.0715874210000038,0.0662725567817688,0.11206176970154,0.071428737603128,0.132250894792378,0.122087583557004,0.119886014610529,0.128519643098116,0.129025097936392,0.113011721055955,0.12301644682884201,0.131051696836948
80,0.0367489717900753,-0.019505146890878698,0.0220332909375429,0.0164348315447569,-0.0520076155662537,-0.00783401448279619,-0.010041837580502,-0.000937108998186886,0.0157965458929539,-0.0443216487765312,0.010516052134335,-0.0504123009741306,-0.0255551766604185,-0.0453708730638027,-0.00870276428759098,0.0149059193208814,0.0101348012685776,-0.000401954632252455,0.0281419083476067,0.0296903513371944,0.0293380059301853,0.00440040556713939,0.0290473736822605,0.0253723617643118,0.108678888529539,0.112607846036553,0.116626618430018,0.0018168091773986801,0.0604591770097613,0.110009360127151,0.116606305236928,0.128543075174093,0.114112548530102,0.120559480972588,0.0644826628267765,0.0717382002621889,0.0664303712546825,0.11219224147498601,0.0715193646028638,0.132381357252598,0.122157115954906,0.119919613003731,0.128522772341967,0.12903760001063302,0.113084371667355,0.123121913522482,0.131079820916057
85,0.0367966257035732,-0.0194262396544218,0.022135628387332,0.0164488889276981,-0.0528037138283253,-0.00802698079496622,-0.0100090214982629,-0.000861330016050488,0.0158184245228767,-0.0441450886428356,0.0107848066836596,-0.0500974543392658,-0.0251989215612411,-0.0452169701457024,-0.00858323089778423,0.0149738881736994,0.010260581970214799,-0.000329294183757156,0.0281833074986935,0.0297028440982103,0.0293762870132923,0.00447150226682425,0.0291520580649376,0.0254090782254934,0.108757795765996,0.112710183486342,0.11664067581296,0.00102071091532707,0.0602662106975913,0.11004217620939001,0.11668208421906501,0.128564953804016,0.11428910866379699,0.120828235521913,0.0647975094616413,0.0720944553613663,0.0665842741727829,0.11231177486479299,0.0715873334556818,0.132507137954235,0.122229776403401,0.119961012154818,0.128535265102983,0.12907588109374002,0.11315546836704,0.123226597905159,0.131116537377238
90,0.0368435010313988,-0.019348114728927602,0.022247351706028,0.0164676383137703,-0.0529537126421928,-0.00774260517209768,-0.00997386872768402,-0.000787115073762834,0.0158426370471716,-0.0439763404428959,0.011040276847779801,-0.0498201064765453,-0.025000486522913,-0.045046653598547,-0.00845276843756437,0.0150832645595074,0.0103801153600216,-0.000255079270573333,0.0282262787222862,0.0297067537903786,0.0294051934033632,0.0045379064977169,0.0292504969984293,0.0254434570670128,0.10883592069149,0.112821906805038,0.116659425199032,0.000870712101459503,0.0605505863204598,0.110077328979969,0.11675629916135201,0.128589166328311,0.11445785686373701,0.121083705686033,0.0650748573243618,0.0722928903996944,0.0667545907199383,0.112442237325013,0.0716967098414898,0.132626671344042,0.122303991316585,0.12000398337840999,0.128539174795151,0.12910478748381102,0.113221872597933,0.12332503683865101,0.131150916218758
95,0.0368974022567272,-0.0192707721143961,0.022342661395669,0.0164793580770493,-0.053372468799352604,-0.00790511071681976,-0.00994573533535004,-0.000723829260095954,0.0158738903701305,-0.0438075847923756,0.011279344558715801,-0.0495279207825661,-0.024859856814146,-0.0448927469551563,-0.008336362428963181,0.0151723194867373,0.0104879280552268,-0.00018789290334098,0.0282614324241877,0.0296981614083052,0.0294286236166954,0.00459571834653616,0.0293411239981651,0.0254840850830078,0.10891326330602201,0.11291721649467899,0.116671144962311,0.000451955944299698,0.0603880807757378,0.110105462372303,0.116819584975019,0.12862041965127,0.114626612514257,0.121322773396969,0.0653670430183411,0.0724335201084614,0.0669084973633289,0.112558643333614,0.0717857647687197,0.132734484039247,0.122371177683817,0.120039137080312,0.12853058241307702,0.129128217697144,0.113279684446752,0.12341566383838701,0.131191544234753
