sensor,step,time_start,time_end,mean,median,last,min,max,range,std,var,max_slope,min_slope,mean_slope,drift,mad,mead,rms,auc,file
R75,1,0.0,0.5305555555555556,0.004491666737973031,0.0044918060302734,0.0044918060302734,0.0043636891059577,0.0045700073242187,0.00020631821826100002,9.600588843320425e-06,9.217130613848863e-11,0.04612209275365231,-0.028152465820308503,0.00028453738119838093,0.00012811692431570054,1.0938535474226897e-06,0.0,0.004491676998217862,0.002383167518160493,3_02-10-2026_OCP_Calibration_CaCl2.csv
R75,2,0.5319444444444444,0.8986111111111111,0.015575412534317866,0.0166797637939453,0.0166797637939453,-0.0012893676757812,0.0167579650878906,0.018047332763671802,0.0024677754536981747,6.089915689875231e-06,2.1938323974608958,-4.162445068359327,0.025260781342128696,0.0121879577636719,0.0015288027379384646,7.820129394530209e-05,0.015769698516587483,0.005717914634280731,3_02-10-2026_OCP_Calibration_CaCl2.csv
R75,3,0.9,1.4208333333333334,-0.002935863555745826,-0.0020704269409179,-0.0012893676757812,-0.0202732086181641,-0.0012893676757812,0.0189838409423829,0.002532569500580825,6.4139082752722095e-06,1.9686126708985043,-1.1102230246251565e-16,0.03896987184565149,0.0189838409423829,0.001543297048282066,0.0005464553833008003,0.003877267477648239,-0.0015181991789075802,3_02-10-2026_OCP_Calibration_CaCl2.csv
R75,4,1.4222222222222223,1.9652777777777777,-0.048164160884156516,-0.0482425689697266,-0.0946483612060547,-0.0946483612060547,-0.0434770584106445,0.051171302795410205,0.0024542987875948437,6.0235825387895205e-06,2.6998901367187784,-34.5938873291017,-0.12857174386783554,-0.045781135559082003,0.0005998915927899747,0.0002346038818359028,0.048226652135657334,-0.02612304621272616,3_02-10-2026_OCP_Calibration_CaCl2.csv
R75,5,1.9666666666666666,2.4833333333333334,-0.09053162019949497,-0.0908203125,-0.0911331176757812,-0.0929298400878906,-0.0887889862060547,0.004140853881835896,0.0006414222174430552,4.1142246102956594e-07,0.8438873291015755,-0.028152465820369343,0.004599420378738,0.0017967224121094028,0.0005038781630099056,7.820129394529862e-05,0.09053389242933628,-0.04677258729934693,3_02-10-2026_OCP_Calibration_CaCl2.csv
R75,6,2.484722222222222,3.0069444444444446,-0.1385824070052699,-0.138710975646973,-0.138633728027344,-0.138710975646973,-0.102080464363098,0.036630511283874984,0.0018828419675653587,3.5450938748253914e-06,26.318349838253003,-13.13102245331227,0.03490497326024343,0.0,0.00019392945987222444,0.0,0.1385951969775616,-0.07237074126799922,3_02-10-2026_OCP_Calibration_CaCl2.csv
R75,7,3.0083333333333333,3.536111111111111,-0.1555549941976553,-0.154726982116699,-0.154726982116699,-0.163320541381836,-0.1545705795288089,0.008749961853027094,0.0016288181020454769,2.6530484095510297e-06,0.25337219238290487,-0.02815246582024855,0.01653445987250919,0.008593559265136996,0.0011579588826223367,0.00015640258789009764,0.15556352165029605,-0.08209365142716304,3_02-10-2026_OCP_Calibration_CaCl2.csv
R80,1,0.0,0.5305555555555556,0.0245712636860559,0.0246486663818359,0.0243358612060547,0.0243358612060547,0.0247268676757812,0.00039100646972650005,0.00012947928564144526,1.676488541021897e-08,0.032877177000048274,-0.028152465820310724,-0.0004956746770568745,-0.0002865027636288972,0.00011101250983368327,7.820129394530209e-05,0.024571604831900982,0.013036548443293806,3_02-10-2026_OCP_Calibration_CaCl2.csv
R80,2,0.5319444444444444,0.8986111111111111,0.03334019139127911,0.0340232849121094,0.0320701599121094,0.0187110900878906,0.0349607467651367,0.016249656677246097,0.0022351380907539757,4.995842284739327e-06,1.5188598632812722,-4.049835205078167,0.013266509433962214,0.007734298706054701,0.0014003669464448122,0.0008592605590819966,0.033415029616803586,0.012231871816847057,3_02-10-2026_OCP_Calibration_CaCl2.csv
R80,3,0.9,1.4208333333333334,0.01632753585247283,0.0168361663818359,0.0166797637939453,0.004648208618164,0.0171489715576172,0.012500762939453201,0.0016250270886315407,2.640713038786301e-06,1.5751647949219256,-0.028152465820343586,0.02513378224474338,0.012031555175781299,0.0009148241762339975,0.00015640258789070133,0.016408203437688475,0.008511790964338514,3_02-10-2026_OCP_Calibration_CaCl2.csv
