t_s,R91,R92,R93,R94,R95,R96,R97,R98,R83,R84,R85,R86,R87,R88,R89,R90,R75,R76,R77,R78,R79,R80,R81,R82
0,,,,,,,,,,,,,,,,0.0136074731126428,0.0051707266829907,-0.0022597694769501,0.0259176716208457,0.0275700278580189,0.0275239367038012,0.0016113376477733,0.026209868490696,0.0248403251171112
5,,,,,,,,,,,,,,,,0.0138379475101829,0.0058066654019057,-0.0019660186953842,0.0263286102563143,0.0279645621776581,0.027779396623373,0.001975402701646,0.0265473648905754,0.024927044287324
10,,,,,,,,,,,,,,,,0.0139934159815311,0.006368379574269,-0.0017418002244085,0.0266583058983088,0.0282950308173895,0.0280036255717277,0.0022894667927175,0.026795806363225,0.0249981395900249
15,,,,,,,,,,,,,,,,0.0140660665929316,0.0068722912110388,-0.0015652370639145,0.0269122123718262,0.0285567473620176,0.0281942449510098,0.0025636863429099,0.0270137786865234,0.025045795366168
20,,,,,,,,,,,,,,,,0.0141301341354847,0.0073129176162183,-0.0014222717145457,0.027115335687995,0.0287739373743534,0.0283669084310532,0.0028066539671272,0.0272223651409149,0.0250793918967247
25,,,,,,,,,,,,,,,,0.0141934109851718,0.007705888710916,-0.0012988280504941,0.027284087613225,0.0289622209966183,0.0285169016569853,0.0030253981240093,0.027417678385973,0.025119237601757
30,,,,,,,,,,,,,,,,0.0142449755221605,0.0080551048740744,-0.0011941433185711,0.0274215880781412,0.029103621840477,0.0286434646695852,0.0032152461353689,0.027602843940258,0.0251317396759986
35,,,,,,,,,,,,,,,,0.0142957586795092,0.0083652688190341,-0.0010980510851368,0.0275333113968372,0.0292395688593388,0.0287497229874134,0.0033925913739949,0.027786435559392,0.0251504890620708
40,,,,,,,,,,,,,,,,0.0143473241478204,0.0086488630622625,-0.0010097693884745,0.0276395604014396,0.0292965974658728,0.0288622174412012,0.0035527513828128,0.0279614347964525,0.0251661110669374
45,,,,,,,,,,,,,,,,0.0144012253731489,0.0089058969169855,-0.0009246158297173,0.0277270600199699,0.029370030388236,0.0289426892995834,0.0037011909298598,0.0281309690326452,0.0251770485192537
50,,,,,,,,,,,,,,,,0.0144652938470243,0.009134798310697,-0.000843362766318,0.0277973748743534,0.0294669046998024,0.0290301889181137,0.0038339996244758,0.0282911192625761,0.0251864232122898
55,,,,,,,,,,,,,,,,0.0145168490707874,0.0093387030065059,-0.0007660198025405,0.0278715882450342,0.0295411292463541,0.0291106607764959,0.0039519690908491,0.0284364316612482,0.0252223573625087
60,,,,,,,,,,,,,,,,0.0145871639251709,0.0095246499404311,-0.0006925773341208,0.0279356576502323,0.0295926947146654,0.0291739366948605,0.0040574357844889,0.0285754967480898,0.025252828374505
65,,,,,,,,,,,,,,,,0.0146512314677238,0.0096957394853234,-0.0006222629453986,0.0279942508786917,0.0296317562460899,0.0292223729193211,0.0041550919413566,0.0286997221410275,0.0252793971449136
70,,,,,,,,,,,,,,,,0.0147285740822554,0.0098512079566717,-0.0005472659831866,0.028052844107151,0.0296590980142355,0.0292786303907633,0.004244155716151,0.0288239382207394,0.0253036115318537
75,,,,,,,,,,,,,,,,0.0148152923211455,0.0100043388083577,-0.000471487030154,0.0281083099544048,0.0296872220933437,0.0293255038559437,0.0043277549557387,0.0289419069886208,0.0253442376852035
80,,,,,,,,,,,,,,,,0.0149059193208814,0.0101348012685776,-0.0004019546322524,0.0281419083476067,0.0296903513371944,0.0293380059301853,0.0044004055671393,0.0290473736822605,0.0253723617643118
85,,,,,,,,,,,,,,,,0.0149738881736994,0.0102605819702147,-0.0003292941837571,0.0281833074986935,0.0297028440982103,0.0293762870132923,0.0044715022668242,0.0291520580649376,0.0254090782254934
90,,,,,,,,,,,,,,,,0.0150832645595074,0.0103801153600216,-0.0002550792705733,0.0282262787222862,0.0297067537903786,0.0294051934033632,0.0045379064977169,0.0292504969984293,0.0254434570670128
95,,,,,,,,,,,,,,,,0.0151723194867373,0.0104879280552268,-0.0001878929033409,0.0282614324241877,0.0296981614083052,0.0294286236166954,0.0045957183465361,0.0293411239981651,0.0254840850830078
100,,,,,,,,,,,,,,,,0.0152606004849076,0.0105824656784533,-0.0001167964874184,0.0282973758876323,0.0296989437192678,0.02944659255445,0.0046550938859581,0.029420031234622,0.0255231466144323
105,,,,,,,,,,,,,,,,0.0153246689587831,0.0106887146830559,-4.72640967927873e-05,0.0283309649676085,0.0296919047832489,0.0294653512537479,0.0047074411995708,0.0295114424079656,0.0255700200796127
110,,,,,,,,,,,,,,,,0.0153895085677505,0.0107785603031516,1.83582305908203e-05,0.0283637810498476,0.0296739377081394,0.0294708143919706,0.0047535323537886,0.0295887850224971,0.0256098639219999
115,,,,,,,,,,,,,,,,0.0154520124197006,0.0108621502295136,7.92980208643712e-05,0.0283856578171253,0.0296544060111046,0.0294778440147638,0.0048011871986091,0.029665345326066,0.0256559550762177
120,,,,,,,,,,,,,,,,0.0155051322653889,0.0109473038464785,0.0001472663861932,0.0284020602703094,0.0296301934868097,0.0294864363968372,0.0048465058207511,0.0297372248023748,0.0257215779274702
125,,,,,,,,,,,,,,,,0.0155418580397964,0.0110176177695394,0.0002097701944876,0.0284215919673442,0.029612997546792,0.0294801890850067,0.0048847864381969,0.0297966003417969,0.0257879924029112
130,,,,,,,,,,,,,,,,0.0155832665041089,0.0110871503129601,0.0002714824513532,0.0284395590424538,0.0295762810856104,0.0294942557811737,0.0049246312119066,0.029863003641367,0.0258473679423332
135,,,,,,,,,,,,,,,,0.0155981061980128,0.0111527722328901,0.0003332042542751,0.0284622181206942,0.0295590963214636,0.029496593400836,0.0049644755199551,0.0299278441816568,0.0259067434817553
140,,,,,,,,,,,,,,,,0.0156293585896492,0.0112090297043324,0.0003917980066034,0.0284809675067663,0.0295380018651485,0.0294919107109308,0.0049980641342699,0.0299801919609308,0.0259723663330078
145,,,,,,,,,,,,,,,,0.0156473256647587,0.0112660592421889,0.0004496097390074,0.0284965895116329,0.0295153427869081,0.0294950380921364,0.0050340080633759,0.0300387851893902,0.0260293949395418
150,,,,,,,,,,,,,,,,0.0156645104289055,0.0113223074004054,0.0005082035204395,0.0285137835890054,0.0294880010187626,0.0294872187077999,0.0050683785229921,0.0300973784178495,0.026100492104888
155,,,,,,,,,,,,,,,,0.0156801417469978,0.0113668441772461,0.0005597686395049,0.0285278409719467,0.0294590946286917,0.0294801890850067,0.0050972839817404,0.0301489438861609,0.0261645503342152
160,,,,,,,,,,,,,,,,0.0156793594360352,0.0114105893298984,0.0006128978566266,0.0285387802869081,0.0294286236166954,0.029479406774044,0.0051269722171127,0.030201282352209,0.0262364279478788
165,,,,,,,,,,,,,,,,0.0156871695071459,0.0114519977942109,0.0006605529924854,0.0285630021244287,0.0293794050812721,0.0294544119387865,0.0051527498289942,0.030251283198595,0.0262965857982635
170,,,,,,,,,,,,,,,,0.0156996715813875,0.0114926239475608,0.0007066440302878,0.0285825338214636,0.0293426886200905,0.0294395629316568,0.0051761912181973,0.0303028486669064,0.0263497065752745
