t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R116,R117,R118,R119,R120,R121,R122,R123
0,0.0043636891059577,,,0.0246223639696836,0.0218871962279081,-0.0455450937151909,0.0211817156523466,0.0146059123799205,0.0239864159375429,0.0112879369407892,0.0097355842590332,0.0013128947466611,-0.0034214972984045,0.0110598085448146,-0.0261083021759986,-0.0329364538192749,-0.022528599947691,-0.0011136722750961,-0.0433044619858265,-0.102080464363098,-0.0223676580935716
5,0.0044101714156568,,,0.024668026715517,0.02193365059793,-0.0454884544014931,0.0212305076420307,0.0146446228027344,0.0240274425595999,0.0113320350646972,0.0097851753234863,0.0013554573524743,-0.0033711434807628,0.0110977170988917,-0.0260586738586426,-0.0328946113586426,-0.0224805828183889,-0.0010663986904546,-0.0432540886104107,-0.102824591100216,-0.022324277088046
10,0.0044918060302734,,,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0431642532348633,-0.1027736663818359,-0.0222263336181641
15,0.0044918060302734,,,0.0246486663818359,0.0219926834106445,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0431642532348633,-0.1027736663818359,-0.0222263336181641
20,0.0044918060302734,,,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0014457702636718,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0431642532348633,-0.1027736663818359,-0.0222263336181641
25,0.0044918060302734,,,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0431642532348633,-0.1027736663818359,-0.0222263336181641
30,0.0044918060302734,,,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0431642532348633,-0.1027736663818359,-0.0222263336181641
35,0.0044918060302734,,,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0431642532348633,-0.1027736663818359,-0.0222263336181641
40,0.0044918060302734,,,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0431642532348633,-0.1027736663818359,-0.0222263336181641
45,0.0044918060302734,,,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0431642532348633,-0.1027736663818359,-0.0222263336181641
50,0.0044918060302734,,,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0431642532348633,-0.1027736663818359,-0.0222263336181641
55,0.0044918060302734,,,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0431642532348633,-0.1027736663818359,-0.0222263336181641
60,0.0044918060302734,,,0.0246486663818359,0.0219926834106445,-0.0453519821166992,0.0212106704711914,0.0147266387939453,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0430860519409179,-0.1027736663818359,-0.0222263336181641
65,0.0044918060302734,,,0.0246486663818359,0.0219926834106445,-0.0453519821166992,0.0212106704711914,0.0146484375,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0430860519409179,-0.1027736663818359,-0.0222263336181641
70,0.0044918060302734,,,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0147266387939453,0.0240240097045898,0.0113668441772461,0.0098047256469726,0.0013675689697265,-0.0033206939697265,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453,-0.0430860519409179,-0.1027736663818359,-0.0222263336181641
