t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R99,R100,R101,R116,R117,R118,R119,R120,R121,R122,R123
190,0.0203514099121094,0.0351171493530273,,,0.0276956558227539,,,,,,,0.0465240478515625,0.033085823059082,,0.0101957321166992,,,,,0.0510549545288086,0.015742301940918,,0.0466022491455078,
200,0.0205860137939453,0.0351171493530273,,,0.0276956558227539,,,,,,,0.0465240478515625,0.0331640243530273,,0.0104293823242188,,,,,0.0510549545288086,0.0158205032348633,,0.0466022491455078,
210,0.0207424163818359,0.0351171493530273,,,0.0277738571166992,,,,,,,0.0465240478515625,0.033320426940918,,0.0106639862060547,,,,,0.0509767532348633,0.0158987045288086,,0.0466022491455078,
220,0.0209770202636719,0.0351171493530273,,,0.0277738571166992,,,,,,,0.0465240478515625,0.0333986282348633,,0.0108203887939453,,,,,0.050898551940918,0.0159769058227539,,0.0466022491455078,
230,0.0211324691772461,0.0351171493530273,,,0.0277738571166992,,,,,,,0.0464458465576172,0.0335550308227539,,0.0110549926757812,,,,,0.0508203506469727,0.0160551071166992,,0.0466022491455078,
240,0.021367073059082,0.0351171493530273,,,0.0277738571166992,,,,,,,0.0464458465576172,0.0336332321166992,,0.0112895965576172,,,,,0.0507421493530273,0.0161333084106445,,0.0466022491455078,
250,0.0215234756469727,0.0351171493530273,,,0.0277738571166992,,,,,,,0.0464458465576172,0.0337114334106445,,0.0114450454711914,,,,,0.050663948059082,0.0162115097045898,,0.0465240478515625,
260,0.0216798782348633,0.0351171493530273,,,0.0277738571166992,,,,,,,0.0463676452636719,0.0337896347045898,,0.011601448059082,,,,,0.0505857467651367,0.0162115097045898,,0.0465240478515625,
270,0.0218362808227539,0.0351171493530273,,,0.0277738571166992,,,,,,,0.0463676452636719,0.0339450836181641,,0.0117578506469727,,,,,0.0504302978515625,0.0162887573242188,,0.0465240478515625,
280,0.0219926834106445,0.035038948059082,,,0.0277738571166992,,,,,,,0.0463676452636719,0.0340232849121094,,0.0119142532348633,,,,,0.0503520965576172,0.0163669586181641,,0.0465240478515625,
