t_s,R75,R77,R78,R80,R81,R83,R92,R98,R100,R102,R105,R114,R117,R120,R121,R122,R124,R125,R126,R127,R128,R129
260.0,-0.0125117301940918,-0.0384962074458599,-0.0139023782685399,,-0.0038555145729333,-0.0207305904477835,0.0194180496037006,0.0178633686155081,0.0025038719177246,,,-0.0389572158455849,-0.0089258197695016,,0.0313009284436703,,,,,,,
270.0,-0.0125742917880416,-0.0385743156075478,-0.0140039445832372,,-0.0038085938431322,-0.0204883571714163,0.0197383891791105,0.0178555492311716,0.0023867606651037,,,-0.0388478301465511,-0.0085586551576852,,0.0312931053340435,,,,,,,
280.0,-0.0126445768401027,-0.0386055968701839,-0.0141211515292525,,-0.0037695884238928,-0.0202461238950491,0.0200586318969727,0.0178477298468351,0.0022851943504065,,,-0.0385587699711323,-0.0081913946196436,,0.0312931053340435,,,,,,,
290.0,-0.0126992231234908,-0.0386525169014931,-0.0142383575439453,,-0.0036913871299475,-0.0200196262449026,0.0204024314880371,0.0178477298468351,0.0022070885170251,,,-0.0381055846810341,-0.0078398706391453,,0.0313009284436703,,,,,,,
300.0,-0.012753963470459,-0.0386993400752544,-0.0143711091950536,,-0.0036211013793945,-0.0197930335998535,0.020746136084199,0.0178633686155081,0.0020977021194994,,,-0.0376837737858295,-0.0075038908980786,,0.0313243865966797,,,,,,,
310.0,-0.012792969122529,-0.0387306213378906,-0.0144961355254054,,-0.0035429955460131,-0.0195664409548044,0.0210586544126272,0.0178711898624897,0.0020117759704589,,,-0.0372618697583675,-0.0071680070832371,,0.0313399322330952,,,,,,,
320.0,-0.0128398900851607,-0.0387540832161903,-0.0146289831027389,,-0.0034727097954601,-0.0193399433046579,0.021332073956728,0.0178633686155081,0.0019023895729333,,,-0.0367149375379086,-0.0068476679734885,,0.0313477516174316,,,,,,,
330.0,-0.0128711704164743,-0.0387852676212788,-0.0147617338225245,,-0.0033788681030273,-0.0191289912909269,0.0214258190244436,0.0178399085998535,0.0017930030589923,,,-0.0363009460270405,-0.0065351487137377,,0.0313477516174316,,,,,,,
340.0,-0.0129258157685399,-0.0388321876525879,-0.014894581399858,,-0.0033085823524743,-0.0189102180302143,0.0216367729008198,0.017832089215517,0.0016836166614666,,,-0.0358946807682514,-0.0062304497696459,,0.0313243865966797,,,,,,,
350.0,-0.0130430227145553,-0.0389337539672852,-0.0150507930666208,,-0.0032695771660655,-0.0187149047851563,0.0219962131232023,0.0178008079528809,0.0015507697826251,,,-0.0356602668762207,-0.0059413909912109,,0.0313087478280067,,,,,,,
360.0,-0.01318359375,-0.0390587821602821,-0.0152070997282863,,-0.0032382966019213,-0.0185352321714163,0.0225117690861225,0.0177539829164743,0.0014570236671716,,,-0.0354493148624897,-0.0056523322127759,,0.0312931053340435,,,,,,,
370.0,-0.0132305147126317,-0.0391056053340435,-0.0153554920107126,,-0.0031680108513683,-0.0183633808046579,0.0229336749762297,0.0177305229008198,0.0013554573524743,,,-0.0350899696350098,-0.00537109375,,0.0312931053340435,,,,,,,
380.0,-0.0132461553439498,-0.0391368865966797,-0.0155117986723781,,-0.003066444536671,-0.0181602481752634,0.0234180446714163,0.0177070628851652,0.001253891037777,,,-0.0348633788526058,-0.0050976756028831,,0.0312931053340435,,,,,,,
390.0,-0.0133164403960109,-0.0391758941113949,-0.0156523715704679,,-0.0029570579063147,-0.017972756177187,0.0238008499145508,0.0176993366330862,0.0011289597023278,,,-0.0346134193241596,-0.0048477174714207,,0.0313009284436703,,,,,,,
400.0,-0.0133633613586426,-0.039222814142704,-0.0158008579164743,,-0.0028867721557617,-0.0177852641791105,0.0241992957890034,0.0176758766174316,0.0010117531055584,,,-0.0342930816113949,-0.0046054841950535,,0.0313165672123432,,,,,,,
410.0,-0.0134180067107081,-0.0392462722957134,-0.0159492492675781,,-0.0028163909446448,-0.0175899509340525,0.0245587360113859,0.0176758766174316,0.0009023666498251,,,-0.0341212265193462,-0.0043788910843431,,0.0313165672123432,,,,,,,
420.0,-0.0135195730254054,-0.0393243804574013,-0.0161055568605661,,-0.0027461051940918,-0.0174180027097464,0.0248556137084961,0.0176524166017771,0.0007851600530557,,,-0.0339337363839149,-0.0041445731185376,,0.0313165672123432,,,,,,,
430.0,-0.0135743143036962,-0.0393556617200375,-0.0162539482116699,,-0.0026758194435387,-0.0172383319586515,0.025269603356719,0.0176524166017771,0.000667953514494,,,-0.0337149612605572,-0.0039336206391453,,0.0313321128487587,,,,,,,
440.0,-0.0136054996401072,-0.0393712036311626,-0.0164179801940918,,-0.0025898932944983,-0.017066478729248,0.0255899429321289,0.017636775970459,0.0005352020380087,,,-0.0335431098937988,-0.0037304877769202,,0.0313243865966797,,,,,,,
450.0,-0.0136367799714208,-0.0393868461251259,-0.0165664684027433,,-0.002488326979801,-0.0168946273624897,0.0259102825075388,0.017636775970459,0.000402355188271,,,-0.0333789847791195,-0.0035351754631847,,0.0313321128487587,,,,,,,
460.0,-0.0136757856234908,-0.0394103042781353,-0.0167148597538471,,-0.0023945809807628,-0.0167148597538471,0.0261837001889944,0.0176289565861225,0.0002773285086732,,,-0.0332930572330952,-0.0033398629166185,,0.0313399322330952,,,,,,,
470.0,-0.0136992456391454,-0.0394103042781353,-0.0168633460998535,,-0.0023163796868175,-0.0165430065244436,0.0264649391174316,0.0176211353391409,0.0001679420529399,,,-0.0331055633723736,-0.0031601905357092,,0.0313477516174316,,,,,,,
480.0,-0.0137461666017771,-0.0394103042781353,-0.0170273780822754,,-0.0022226334549486,-0.0163633357733488,0.0267461780458689,0.0176133159548044,5.85556044825353e-05,,,-0.0328868888318539,-0.0029960633255541,,0.0313477516174316,,,,,,,
490.0,-0.0138008119538426,-0.0394259467720985,-0.0171680450439453,,-0.0021445273887366,-0.0161993037909269,0.0270118713378906,0.0176054965704679,-4.30107138527092e-05,,,-0.032832145690918,-0.0028320313431322,,0.0313555710017681,,,,,,,
500.0,-0.0138399126008153,-0.0394259467720985,-0.0173242576420307,,-0.0020586014725267,-0.0160429961979389,0.0273086559027433,0.0175977703183889,-0.0001444816589355,,,-0.0327462218701839,-0.0026601792778819,,0.0313633941113949,,,,,,,
510.0,-0.0139023782685399,-0.0394415855407715,-0.0174649246037006,,-0.0019726753234863,-0.0158867835998535,0.0275821685791016,0.0175977703183889,-0.0002460479736328,,,-0.0326915755867958,-0.002511692000553,,0.0313712134957314,,,,,,,
520.0,-0.0139649389311671,-0.039457131177187,-0.0176211353391409,,-0.0018945693736895,-0.0157461166381836,0.0278399474918842,0.017582131549716,-0.0003397941763978,,,-0.032621193677187,-0.0023554803337901,,0.0313712134957314,,,,,,,
530.0,-0.0140586858615279,-0.0394962318241596,-0.0177696235477924,,-0.0018398285610601,-0.0156055456027389,0.0280743595212698,0.017582131549716,-0.0004258155822753,,,-0.0323712341487408,-0.0022069930564612,,0.0313790328800678,,,,,,,
